Instancename,Id,State,Platform,InstanceType,Launchedtime,Region,Uptime,Instancebuilder
abc-359,i-0b60dfc9eeaf57d47,stopped,Unix/Linux,m5.2xlarge,2020-11-24 12:02:13+00:00,us-west-2, ,abc@abc.com
abc-360,i-094c26e5a7cbcc3c1,stopped,windows,m5.large,2020-11-05 09:20:53+00:00,us-west-2, ,abc@abc.com
abc-361,i-06cc70860c14d4042,stopped,Unix/Linux,t3.micro,2020-11-30 13:16:25+00:00,us-west-2, ,abc@abc.com
abc-362,i-076d8954ea7fa482b,stopped,windows,t3a.medium,2020-11-07 00:47:36+00:00,us-west-2, ,abc@abc.com
abc-363,i-069c94217fcc0eaa8,stopped,Unix/Linux,t3a.medium,2020-11-07 00:47:42+00:00,us-west-2, ,abc@abc.com
abc-364,i-0fac6fd9b182663b6,running,Unix/Linux,m5.xlarge,2020-11-10 12:52:29+00:00,us-west-2,"40 days, 12:12:48.707184",abc@abc.com
abc-365,i-0bf70d1e5a875697c,running,Unix/Linux,t3a.nano,2020-11-10 16:35:48+00:00,us-west-2,"40 days, 8:29:29.707203",abc@abc.com
abc-366,i-06f634f025cf0638e,running,Unix/Linux,t3.micro,2020-11-13 06:49:42+00:00,us-west-2,"37 days, 18:15:35.707219",abc@abc.com
abc-367,i-02b829f6a30efaa88,running,windows,m5.large,2020-11-13 07:04:13+00:00,us-west-2,"37 days, 18:01:04.707239",abc@abc.com
abc-368,i-0b9e557c8616e62c8,running,Unix/Linux,t3.medium,2020-11-13 11:28:03+00:00,us-west-2,"37 days, 13:37:14.707258",abc@abc.com
abc-369,i-07fc1601a1788dc45,running,Unix/Linux,t3.micro,2020-11-18 12:42:02+00:00,us-west-2,"32 days, 12:23:15.707279",abc@abc.com
abc-370,i-06995b139110ac09d,running,windows,t3a.medium,2020-11-18 12:57:42+00:00,us-west-2,"32 days, 12:07:35.707299",abc@abc.com
abc-371,i-05b4990adc404776f,running,Unix/Linux,t3a.medium,2020-11-18 12:57:53+00:00,us-west-2,"32 days, 12:07:24.707318",abc@abc.com
abc-372,i-05bb40570d99b72e9,running,Unix/Linux,t3.medium,2020-11-18 14:00:21+00:00,us-west-2,"32 days, 11:04:56.707352",abc@abc.com
abc-373,i-0ddb885086271da4b,running,Unix/Linux,t3a.nano,2020-11-23 11:54:16+00:00,us-west-2,"27 days, 13:11:01.707373",abc@abc.com
abc-374,i-01708f30a0ca6d1e6,running,Unix/Linux,t3.micro,2020-11-23 13:55:44+00:00,us-west-2,"27 days, 11:09:33.707390",abc@abc.com
abc-375,i-0d7eeffe06be73730,running,windows,m5.large,2020-11-23 14:34:20+00:00,us-west-2,"27 days, 10:30:57.707409",abc@abc.com
abc-376,i-02bd3d26758cf1744,running,Unix/Linux,t3.medium,2020-11-23 14:34:45+00:00,us-west-2,"27 days, 10:30:32.707431",abc@abc.com
abc-377,i-0c01d0cb73ec642c5,running,Unix/Linux,t3.medium,2020-11-23 15:51:36+00:00,us-west-2,"27 days, 9:13:41.707452",abc@abc.com
abc-378,i-0c6674177b7328320,running,Unix/Linux,t3.medium,2020-11-23 16:10:40+00:00,us-west-2,"27 days, 8:54:37.707471",abc@abc.com
abc-379,i-0a013cc4ffd5c4e69,running,Unix/Linux,t3a.nano,2020-11-25 06:04:46+00:00,us-west-2,"25 days, 19:00:31.707488",abc@abc.com
abc-380,i-0288aa6479d9013a2,running,Unix/Linux,t3a.nano,2020-11-25 14:23:21+00:00,us-west-2,"25 days, 10:41:56.707505",abc@abc.com
abc-381,i-0e9ddf7b55d8e5288,running,Unix/Linux,t3a.nano,2020-11-30 04:44:01+00:00,us-west-2,"20 days, 20:21:16.707531",abc@abc.com
abc-382,i-0defea7ad21ed8cc2,running,Unix/Linux,m5.large,2020-11-30 10:07:26+00:00,us-west-2,"20 days, 14:57:51.707547",abc@abc.com
abc-383,i-0f9909749a64ac6fa,running,Unix/Linux,t3a.nano,2020-12-02 00:03:48+00:00,us-west-2,"19 days, 1:01:29.707564",abc@abc.com
abc-384,i-0390a26e38587499a,running,Unix/Linux,t3.micro,2020-12-02 14:25:07+00:00,us-west-2,"18 days, 10:40:10.707581",abc@abc.com
abc-385,i-0c4e32f8db6edb918,running,windows,m5.large,2020-12-02 14:41:22+00:00,us-west-2,"18 days, 10:23:55.707600",abc@abc.com
abc-386,i-0f2468e7ba1d56d2f,running,Unix/Linux,t3.medium,2020-12-02 14:41:31+00:00,us-west-2,"18 days, 10:23:46.707620",abc@abc.com
abc-387,i-0fea99c99ec1c9c76,running,Unix/Linux,t3.medium,2020-12-02 16:29:23+00:00,us-west-2,"18 days, 8:35:54.707640",abc@abc.com
abc-388,i-0641e1fd39d145b18,running,Unix/Linux,t3.micro,2020-12-14 09:09:23+00:00,us-west-2,"6 days, 15:55:54.707660",abc@abc.com
abc-389,i-0f6fb5fea34386947,running,windows,m5.large,2020-12-14 09:09:23+00:00,us-west-2,"6 days, 15:55:54.707679",abc@abc.com
abc-390,i-08d468f92c8bbc816,running,Unix/Linux,t2.medium,2020-12-15 05:34:42+00:00,us-west-2,"5 days, 19:30:35.707699",abc@abc.com
abc-391,i-07e9b0149b590974f,running,Unix/Linux,t3.micro,2020-12-08 06:48:55+00:00,us-west-2,"12 days, 18:16:22.707748",abc@abc.com
abc-392,i-0ba4fc6a7fc583c82,running,Unix/Linux,t3.medium,2020-12-08 07:02:45+00:00,us-west-2,"12 days, 18:02:32.707768",abc@abc.com
abc-393,i-085d79f06a81be8bf,running,windows,m5.large,2020-12-08 07:02:37+00:00,us-west-2,"12 days, 18:02:40.707788",abc@abc.com
abc-394,i-0ec827a0809e9ea27,stopped,Unix/Linux,t3.micro,2020-12-18 15:27:31+00:00,us-west-2, ,abc@abc.com
abc-395,i-0a685c0e347f3b096,stopped,windows,t3a.medium,2020-12-18 15:28:04+00:00,us-west-2, ,abc@abc.com
abc-396,i-0dce2fdc576228112,stopped,Unix/Linux,t3a.medium,2020-12-18 15:28:05+00:00,us-west-2, ,abc@abc.com
abc-397,i-058b2fea62aa65527,running,Unix/Linux,t3a.nano,2020-12-11 02:08:49+00:00,us-west-2,"9 days, 22:56:28.707870",abc@abc.com
abc-398,i-0ae8eb3f3ecf95570,running,Unix/Linux,t3.micro,2020-12-14 04:30:54+00:00,us-west-2,"6 days, 20:34:23.707920",abc@abc.com
abc-399,i-050b96b405d204a61,running,windows,m5.large,2020-12-14 04:45:53+00:00,us-west-2,"6 days, 20:19:24.707942",abc@abc.com
abc-400,i-0bb87bb71683b8743,running,Unix/Linux,t3.medium,2020-12-14 04:45:58+00:00,us-west-2,"6 days, 20:19:19.707963",abc@abc.com
abc-401,i-05b66460a8e922a39,running,Unix/Linux,t3a.nano,2020-12-14 19:43:00+00:00,us-west-2,"6 days, 5:22:17.707983",abc@abc.com
abc-402,i-0d2fcaf15752d916e,running,Unix/Linux,t3a.nano,2020-12-14 21:12:12+00:00,us-west-2,"6 days, 3:53:05.708000",abc@abc.com
abc-403,i-0d3e9aa2fed92724f,running,Unix/Linux,t3a.nano,2020-12-15 01:28:59+00:00,us-west-2,"5 days, 23:36:18.708016",abc@abc.com
abc-404,i-0ba24cec696d992de,running,Unix/Linux,t3a.nano,2020-12-15 17:13:43+00:00,us-west-2,"5 days, 7:51:34.708033",abc@abc.com
abc-405,i-082c414fac14ab4ed,running,Unix/Linux,t3.micro,2020-12-15 23:49:16+00:00,us-west-2,"5 days, 1:16:01.708049",abc@abc.com
abc-406,i-0f4d1a13af76dfee2,running,Unix/Linux,t3a.nano,2020-12-16 13:14:02+00:00,us-west-2,"4 days, 11:51:15.708068",abc@abc.com
abc-407,i-008b8900a4b561736,running,Unix/Linux,t3.medium,2020-12-16 20:10:03+00:00,us-west-2,"4 days, 4:55:14.708085",abc@abc.com
abc-408,i-02df33a2de000c9ce,running,Unix/Linux,t3a.nano,2020-12-16 21:47:43+00:00,us-west-2,"4 days, 3:17:34.708103",abc@abc.com
abc-409,i-04404b058b332a55a,running,Unix/Linux,t3.micro,2020-12-17 07:11:53+00:00,us-west-2,"3 days, 17:53:24.708120",abc@abc.com
abc-410,i-0ea99c6da66b41c6c,running,Unix/Linux,t3.medium,2020-12-17 07:25:19+00:00,us-west-2,"3 days, 17:39:58.708139",abc@abc.com
abc-411,i-048a48b9203c3bffa,running,windows,m5.large,2020-12-17 07:25:08+00:00,us-west-2,"3 days, 17:40:09.708160",abc@abc.com
abc-412,i-08009da2d1a11d946,running,Unix/Linux,t3.micro,2020-12-17 14:22:59+00:00,us-west-2,"3 days, 10:42:18.708180",abc@abc.com
abc-413,i-05b2bbd58494ea6c1,running,windows,m5.large,2020-12-17 14:38:41+00:00,us-west-2,"3 days, 10:26:36.708199",abc@abc.com
abc-414,i-07b785ca6e5ccfc37,running,Unix/Linux,t3.medium,2020-12-17 14:38:50+00:00,us-west-2,"3 days, 10:26:27.708219",abc@abc.com
abc-415,i-087547f0587eda445,running,Unix/Linux,t3a.nano,2020-12-17 21:21:24+00:00,us-west-2,"3 days, 3:43:53.708239",abc@abc.com
abc-416,i-0172b867872718d6c,running,Unix/Linux,t3a.nano,2020-12-17 23:40:35+00:00,us-west-2,"3 days, 1:24:42.708256",abc@abc.com
abc-417,i-0d3de93638fe2d652,running,Unix/Linux,t3.micro,2020-11-18 01:38:22+00:00,us-east-1,"32 days, 23:26:58.509811",abc@abc.com
abc-418,i-01e49c74b1b43348d,running,Unix/Linux,t3.medium,2020-10-27 18:22:07+00:00,eu-west-1,"54 days, 6:43:21.294106",abc@abc.com
abc-419,i-013830a3c93d75227,running,Unix/Linux,t3a.nano,2020-10-30 13:13:17+00:00,eu-west-1,"51 days, 11:52:11.294153",abc@abc.com
abc-420,i-00b1f8921b905a93b,running,Unix/Linux,t3.medium,2020-10-27 18:22:07+00:00,eu-west-1,"54 days, 6:43:21.294179",abc@abc.com
